point,call_count
2024-04-15 23:32:00,115350.5
2024-04-15 23:33:00,115126.0
2024-04-15 23:34:00,117250.5
2024-04-15 23:35:00,117084.0
2024-04-15 23:36:00,115140.0
2024-04-15 23:37:00,114614.0
2024-04-15 23:38:00,110234.5
2024-04-15 23:39:00,107130.0
2024-04-15 23:40:00,108438.5
2024-04-15 23:41:00,108507.5
2024-04-15 23:42:00,104157.5
2024-04-15 23:43:00,103562.0
2024-04-15 23:44:00,103670.0
2024-04-15 23:45:00,101632.0
2024-04-15 23:46:00,100818.0
2024-04-15 23:47:00,98087.0
2024-04-15 23:48:00,96746.0
2024-04-15 23:49:00,95394.0
2024-04-15 23:50:00,94317.5
2024-04-15 23:51:00,98236.0
2024-04-15 23:52:00,102433.5
2024-04-15 23:53:00,101912.5
2024-04-15 23:54:00,99700.0
2024-04-15 23:55:00,98724.0
2024-04-15 23:56:00,101771.5
2024-04-15 23:57:00,104805.0
2024-04-15 23:58:00,106650.5
2024-04-15 23:59:00,107504.5
2024-04-16 00:00:00,108576.5
2024-04-16 00:01:00,110925.0
2024-04-16 00:02:00,109239.5
2024-04-16 00:03:00,113304.0
2024-04-16 00:04:00,114244.0
2024-04-16 00:05:00,107464.5
2024-04-16 00:06:00,107091.5
2024-04-16 00:07:00,109097.5
2024-04-16 00:08:00,109393.0
2024-04-16 00:09:00,109427.5
2024-04-16 00:10:00,106825.0
2024-04-16 00:11:00,101440.0
2024-04-16 00:12:00,99301.0
2024-04-16 00:13:00,100545.5
2024-04-16 00:14:00,100370.0
2024-04-16 00:15:00,99395.5
2024-04-16 00:16:00,100116.5
2024-04-16 00:17:00,97641.0
2024-04-16 00:18:00,93487.0
2024-04-16 00:19:00,92597.0
2024-04-16 00:20:00,94431.0
2024-04-16 00:21:00,95205.0
2024-04-16 00:22:00,93687.0
2024-04-16 00:23:00,91149.5
2024-04-16 00:24:00,89205.0
2024-04-16 00:25:00,89008.0
2024-04-16 00:26:00,87609.5
2024-04-16 00:27:00,85436.5
2024-04-16 00:28:00,83425.0
2024-04-16 00:29:00,82098.0
2024-04-16 00:30:00,81045.0
2024-04-16 00:31:00,79439.5
2024-04-16 00:32:00,80765.0
2024-04-16 00:33:00,82989.0
2024-04-16 00:34:00,82783.5
2024-04-16 00:35:00,82093.5
2024-04-16 00:36:00,84012.5
2024-04-16 00:37:00,84800.5
2024-04-16 00:38:00,82748.5
2024-04-16 00:39:00,82709.0
2024-04-16 00:40:00,85860.5
2024-04-16 00:41:00,86615.5
2024-04-16 00:42:00,84279.0
2024-04-16 00:43:00,83701.5
2024-04-16 00:44:00,82989.0
2024-04-16 00:45:00,83218.5
2024-04-16 00:46:00,82568.0
2024-04-16 00:47:00,80329.0
2024-04-16 00:48:00,79968.0
2024-04-16 00:49:00,79311.0
2024-04-16 00:50:00,76891.0
2024-04-16 00:51:00,73363.0
2024-04-16 00:52:00,70865.0
2024-04-16 00:53:00,71355.5
2024-04-16 00:54:00,74291.5
2024-04-16 00:55:00,75630.0
2024-04-16 00:56:00,74521.0
2024-04-16 00:57:00,75884.0
2024-04-16 00:58:00,76785.5
2024-04-16 00:59:00,74495.0
2024-04-16 01:00:00,72570.0
2024-04-16 01:01:00,72736.5
2024-04-16 01:02:00,73824.5
2024-04-16 01:03:00,74858.5
2024-04-16 01:04:00,74500.0
2024-04-16 01:05:00,72688.0
2024-04-16 01:06:00,73828.5
2024-04-16 01:07:00,77832.0
2024-04-16 01:08:00,80104.5
2024-04-16 01:09:00,77455.5
2024-04-16 01:10:00,73836.0
2024-04-16 01:11:00,73232.5
2024-04-16 01:12:00,75277.0
2024-04-16 01:13:00,76758.5
2024-04-16 01:14:00,75671.0
2024-04-16 01:15:00,75891.5
2024-04-16 01:16:00,75311.5
2024-04-16 01:17:00,71762.0
2024-04-16 01:18:00,69463.5
2024-04-16 01:19:00,70609.0
2024-04-16 01:20:00,72145.0
2024-04-16 01:21:00,71905.0
2024-04-16 01:22:00,69642.0
2024-04-16 01:23:00,68486.5
2024-04-16 01:24:00,67560.5
2024-04-16 01:25:00,65788.5
2024-04-16 01:26:00,67000.0
2024-04-16 01:27:00,68462.0
2024-04-16 01:28:00,69334.5
2024-04-16 01:29:00,69436.5
2024-04-16 01:30:00,69546.0
2024-04-16 01:31:00,70001.0
2024-04-16 01:32:00,69628.5
2024-04-16 01:33:00,70390.0
2024-04-16 01:34:00,71003.5
2024-04-16 01:35:00,69739.5
2024-04-16 01:36:00,70572.5
2024-04-16 01:37:00,69992.0
2024-04-16 01:38:00,66737.0
2024-04-16 01:39:00,66643.5
2024-04-16 01:40:00,66935.5
2024-04-16 01:41:00,66076.0
2024-04-16 01:42:00,66789.0
2024-04-16 01:43:00,67496.5
2024-04-16 01:44:00,67554.5
2024-04-16 01:45:00,67527.0
2024-04-16 01:46:00,67550.0
2024-04-16 01:47:00,68479.0
2024-04-16 01:48:00,68579.0
2024-04-16 01:49:00,67214.0
2024-04-16 01:50:00,68635.5
2024-04-16 01:51:00,70697.0
2024-04-16 01:52:00,67906.5
2024-04-16 01:53:00,65912.0
2024-04-16 01:54:00,66277.0
2024-04-16 01:55:00,66353.0
2024-04-16 01:56:00,68907.0
2024-04-16 01:57:00,69540.0
2024-04-16 01:58:00,67920.5
2024-04-16 01:59:00,68254.0
2024-04-16 02:00:00,65888.5
2024-04-16 02:01:00,63394.0
2024-04-16 02:02:00,63418.0
2024-04-16 02:03:00,64047.5
2024-04-16 02:04:00,64608.5
2024-04-16 02:05:00,65122.0
2024-04-16 02:06:00,64495.0
2024-04-16 02:07:00,62661.5
2024-04-16 02:08:00,61182.0
2024-04-16 02:09:00,61792.5
2024-04-16 02:10:00,63886.0
2024-04-16 02:11:00,64409.5
2024-04-16 02:12:00,63562.5
2024-04-16 02:13:00,63959.0
2024-04-16 02:14:00,64830.0
2024-04-16 02:15:00,63888.0
2024-04-16 02:16:00,62749.0
2024-04-16 02:17:00,61763.5
2024-04-16 02:18:00,61623.0
2024-04-16 02:19:00,61870.5
2024-04-16 02:20:00,59934.0
2024-04-16 02:21:00,57848.5
2024-04-16 02:22:00,57059.5
2024-04-16 02:23:00,56205.0
2024-04-16 02:24:00,55974.0
2024-04-16 02:25:00,56782.5
2024-04-16 02:26:00,56117.5
2024-04-16 02:27:00,55711.5
2024-04-16 02:28:00,57483.5
2024-04-16 02:29:00,58992.0
2024-04-16 02:30:00,58895.0
2024-04-16 02:31:00,59151.0
2024-04-16 02:32:00,58875.0
2024-04-16 02:33:00,57707.0
2024-04-16 02:34:00,57874.0
2024-04-16 02:35:00,60288.5
2024-04-16 02:36:00,59757.5
2024-04-16 02:37:00,56296.5
2024-04-16 02:38:00,55190.0
2024-04-16 02:39:00,55650.0
2024-04-16 02:40:00,56869.5
2024-04-16 02:41:00,57193.0
2024-04-16 02:42:00,57680.0
2024-04-16 02:43:00,58254.0
2024-04-16 02:44:00,58152.5
2024-04-16 02:45:00,59231.0
2024-04-16 02:46:00,59922.0
2024-04-16 02:47:00,59650.5
2024-04-16 02:48:00,60222.5
2024-04-16 02:49:00,59176.0
2024-04-16 02:50:00,56670.5
2024-04-16 02:51:00,57418.0
2024-04-16 02:52:00,59293.5
2024-04-16 02:53:00,58964.0
2024-04-16 02:54:00,57964.5
2024-04-16 02:55:00,58587.0
2024-04-16 02:56:00,59482.0
2024-04-16 02:57:00,60143.5
2024-04-16 02:58:00,60907.5
2024-04-16 02:59:00,59749.5
2024-04-16 03:00:00,59522.5
2024-04-16 03:01:00,60479.0
2024-04-16 03:02:00,60901.0
2024-04-16 03:03:00,60182.5
2024-04-16 03:04:00,59352.5
2024-04-16 03:05:00,59265.5
2024-04-16 03:06:00,58068.5
2024-04-16 03:07:00,57960.5
2024-04-16 03:08:00,59510.0
2024-04-16 03:09:00,59555.5
2024-04-16 03:10:00,59071.5
2024-04-16 03:11:00,58631.5
2024-04-16 03:12:00,58849.5
2024-04-16 03:13:00,59461.5
2024-04-16 03:14:00,59464.5
2024-04-16 03:15:00,59616.5
2024-04-16 03:16:00,58633.0
2024-04-16 03:17:00,57949.5
